id,accession,locator,site,type,author,date,format,size,description,notes,issues
1,,,SalemAve,letter,"Walker, John Grimes",05/16/1888,paper,7-3/4x10,"Letter from John Grimes Walker, Chief of the Naval Bureau of Navigation, to Frederick J. Kimball, N&W President","Letter accepting invitation of Frederick Kimball to join a party inspecting the N&W line, Pochontas coalfields, and Norfolk terminal facility on May 21, 1888",
2,,,SalemAve,letter,"Wister, John",12/28/1888,paper,5-3/4x9-1/4,"Letter from John Wister, Duncannon Iron Company President, to Frederick J. Kimball, N&W President ",Letter thanking Frederick Kimball for providing a report on the New River Cripple Creek Mineral Region,
3,,,SalemAve,letter,Unknown,06/02/1885,paper,5x8,"Letter from unknown author to Frederick J. Kimball, N&W President","Letter sent from Faunsdale, Alabama, in which the  author requests assistance in returning to their home in Norfolk, Virginia; second page missing ",
4,,,SalemAve,letter,"Wright, Theodore",n.d.,paper ,9x7,"Letter from Theodore Wright to Frederick J. Kimball, N&W President",Letter requesting clarity on contracts for ties,
5,,,SalemAve,telegram,"Wentworth, Charles C.",06/30/1887,paper,8x10-1/2,"Telegram from Charles C. Wentworth, N&W Principal Assistant Engineer, to W. W. Cook, c/o Frederick J. Kimball",Telegram sent from Roanoke Western Union office describing track laying progress at an undisclosed location,
6,,,SalemAve,letter,"Weaver, Z. L. ",04/09/1887,paper,8-1/2x12-3/4,"Letter from Z. L. Weaver, Virginia Senate Sergeant-at-arms, to Frederick J. Kimball, N&W President",Letter requesting a rail pass from Richmond to Wytheville for Virginia state senator S. W. Williams to visit his daughter.,
7,,,SalemAve,newspaper,Bristol Herald Courier,03/18/1953,cardstock,7-1/2x9,Newspaper excerpt with N&W tax information,"Embossed copy of a newspaper excerpt showing N&W Treasurer S. P. Chockley delivering a $10,600,000 check to the Roanoke federal revenue office; total taxes paid for 1952 amounted to $39,557,000 ",
8,,,SalemAve,letter,"Woolling, William",08/18/1885,paper,6x9-1/2,"Letter from William Woolling to Joseph H. Sands, N&W General Superintendent","Letter from a hotelier inquiring about assuming operation of a hotel in Pulaski, Virginia; referred to Frederick J.  Kimball, N&W President",
9,,,SalemAve,letter,"Wrenn, Beverly W.",n.d.,paper,5-1/2x8-1/2,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Virginia, Tennessee & Georgia Air Line acknowledging receipt of a previous letter and inquiring about a meeting with Kimball in Philadelphia; dated December 27",
10,,,SalemAve,letter,"Yager, James A.",01/27/1887,paper,8x10-1/2,"Letter from James A. Yager to Frederick J. Kimball, N&W President",Letter from a Virginia Land Company partner discussing real estate relations,
11,,,SalemAve,letter ,"Wilson, John",10/01/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President","Letter to Frederick Kimball forwarding an attached message of R. B. Cooke, General Passenger and Freight Agent of the New York, Philadelphia & Norfolk Railroad Company, discussing market share between Norfolk and New York",
12,,,SalemAve,letter,"Wrenn, Beverly W.",10/19/1885,linen,8-1/2x11,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Virginia, Tennessee & Georgia Air Line providing updates on employee expenses and the passenger schedule; schedule of employee salaries and expenses enclosed",
13,,,SalemAve,letter,Walton,01/29/1886,paper,6x9-1/2,"Letter from Walton to Frederick J. Kimball, N&W President",Letter inquiring about a securing a contract on the Bluestone Branch ,check last name
14,,,SalemAve,letter,"Walker, Richard F.",01/18/1888,paper,8x10-1/2,"Letter from Richard F. Walker to Frederick J. Kimball, N&W President",Letter requesting a rail pass for the son of Virginia delegate W. N. Tinsley ,
15,,,SalemAve,letter,"Cornett, G. W. ",01/18/1888,paper,5-3/4x8-1/2,Letter from G. W. Cornett to Richard F. Walker,Letter requesting a rail pass for the children of Virginia senator G. W. Cornett; forwarded to Frederick Kimball,
16,,,SalemAve,letter,"Walters, W. T. ",11/25/1887,paper,,"Letter from W. T. Walters, Atlantic Coast Line President to Frederick J. Kimball, N&W President",Letter recommending the services of architect William Bleddyn Powell for the construction of the Richmond Depot,
17,,,SalemAve,letter,"Ward, Frank ",02/20/1888,paper ,,"Letter from Frank Ward to Frederick J. Kimball, N&W President",Letter from rail inspection agent Frank Ward soliciting business for rail materials and inspection services,
18,,,SalemAve,letter,"Ward, George R. ",02/14/1887,paper,,"Letter from George R. Ward to Frederick J. Kimball, N&W President",Letter from rail inspection agent George R. Ward quoting costs for rail materials and inspection services; blank inspection documents enclosed ,
19,,,SalemAve,letter,"Watts, Ethelbert",12/20/1888,paper,,"Letter from Ethelbert Watts to Frederick J. Kimball, N&W President ",Letter discussing the financing of the Shenandoah Valley Railroad,
20,,,SalemAve,letter,"Watts, Ethelbert",07/28/1888,paper,,Letter from Ethelbert Watts to Charles Sanger Mellen,Letter discussing stock transfer of shares in Raford L&HR,check Mellen's affiliation
21,,,SalemAve,letter,"Watts, Henry M. ",n.d.,paper,,"Letter from Henry M. Watts to Frederick J. Kimball, N&W President",Letter expressing thanks and accepting a previous invitation sent by Frederick Kimball,
22,,,SalemAve,letter,"Watkins, John Elfreth",01/16/1886,paper,,"Letter from John Elfreth Watkins to Frederick J. Kimball, N&W President","Letter from Honorary Curator and Pennsylvania Railroad engineer John Elfreth Watkins requesting financial and archival donations for the Steam Transportation exhibit at the United States National Museum, sponsored by the Smithsonian Institution",
23,,,SalemAve,letter,"Thomas, Sam Russell",07/22/1886,paper,,"Letter from Sam Thomas, President of the East Tennessee, Virginia & Georgia Railroad, to Frederick J. Kimball, N&W President ",Letter requesting a rail pass for an employee to travel between Roanoke and Bristol,
24,,,SalemAve,letter,"Thomas, Sam Russell",07/19/1886,paper,,"Letter from Sam Thomas, President of the East Tennessee, Virginia & Georgia Railroad, to Frederick J. Kimball, N&W President ",Letter apologizing for delaying to arrange a meeting with Frederick Kimball,
25,,,SalemAve,letter,"Weaver, Z. L. ",01/24/1888,paper,,"Letter from Z. L. Weaver, Virginia Senate Sergeant-at-arms, to Frederick J. Kimball, N&W President","Letter requesting a rail pass for Virginia Senate Clerk B. Owens, Jr., between Petesburg and Radford to investigate a contested state senate election ",
26,,,SalemAve,letter,"Weaver, Z. L. ",05/23/1887,paper,,"Letter from Z. L. Weaver, Virginia Senate Sergeant-at-arms, to Frederick J. Kimball, N&W President",Letter written on behalf of Virginia Senator S. W. Williams requesting a rail pass for Delegate R. R. Noblin to travel between Lynchburg and Wytheville,
27,,,SalemAve,letter,"Weaver, Z. L. ",02/22/1886,paper,,"Letter from Z. L. Weaver, Virginia Senate Sergeant-at-arms, to Frederick J. Kimball, N&W President",Letter written on behalf of Virginia Senator S. W. Williams requesting Frederick Kimball renew an unused rail pass he had requested for his ill sister,
28,,,SalemAve,letter,"Weeks, Joseph D. ",12/10/1888,paper,,"Letter from Joseph D. Weeks to Frederick J. Kimball, N&W President","Letter from Joseph D. Weeks, editor of the American Manufacturer and Iron World journal, noting damage to framed photographs sent by Frederick Kimball to the publication; copy of letter to art supplier enclosed",
29,,,SalemAve,letter,Welsh,04/03/1888,paper,,"Letter from Mr. Welsh to Frederick J. Kimball, N&W President",Letter requesting that Frederick Kimball enlist the services of John A. Flynn,"check date, author name"
30,,,SalemAve,letter,Welsh,n.d.,paper,,"Letter from Mr. Welsh to Frederick J. Kimball, N&W President",Letter thanking Frederick Kimball,"check author, description"
31,,,SalemAve,letter,"Wech, J. A. ",06/18/1885,paper,,"Letter from J. A. Wech to Frederick J. Kimball, N&W President",Letter notifying Frederick Kimball of the production capabilities of a mine managed by a Mr. O'Conner,
32,,,SalemAve,letter,"Wentworth, Charles C. ",04/07/1887,paper,,"Letter from Charles C. Wentworth, N&W Principal Assistant Engineer, to Frederick J. Kimball, N&W President","Letter discussing property acquisiton for a potential junction with the Louisville & Nashville Railroad near Big Stone Gap (formerly Mineral City), Virginia; blueprint sketch of property enclosed",
33,,,SalemAve,letter,"Wentworth, I. H. ",04/30/1886,paper,,"Letter from I. H. Wentworth, Richmond & Danville Railroad Secretary, to Frederick J. Kimball, N&W President","Letter discussing business around Washington, DC, and Alexandria, Virginia","check name, check date"
34,,,SalemAve,letter,"Westlake, I. R. ",11/10/1888,paper,,"Letter from I. R. Westlake to Frederick J. Kimball, N&W President","Letter from the New York agent for the Virginia, Tennesee & Georgia Air Line containing an attached telegram sent from T. M. R. Talcott, Richmond & Danville Railroad Vice President, pertaining to freight matters in Memphis, Tennessee ",
35,,,SalemAve,letter,"Weston, Francis E",08/14/1888,paper,,"Letter from Francis E. Weston to Frederick J. Kimball, N&W President",Letter thanking Frederick Kimball for providing requested information related to steel and iron materials ,
36,,,SalemAve,letter,"Weston, Francis E",07/13/1888,paper,,"Letter from Francis E. Weston to Frederick J. Kimball, N&W President",Letter acknowledging a billing error for steel and iron materials,
37,,,SalemAve,letter,"West, R. S.",08/08/1887,paper,,,,revisit
38,,,SalemAve,letter,"Westlake, I. R. ",07/29/1886,paper,,"Letter from I. R. Westlake to Frederick J. Kimball, N&W President","Letter furnishing requested information about freight rates for the Virginia, Tennessee & Georgia Air Line between 1883-1886; rate schedule enclosed",
39,,,SalemAve,letter,"Weston, Francis E",07/23/1886,paper,,"Letter from Francis E. Weston to Frederick J. Kimball, N&W President","Letter requesting that Frederick Kimball not write to Samuel A. Crozer, President of the Crozer Steel & Iron Company, on the matter of Crozer's coalfield holdings while Crozer is traveling  ",
40,,,SalemAve,letter,"Weston, Francis E",07/21/1886,paper,,"Letter from Francis E. Weston to Frederick J. Kimball, N&W President","Letter informing Frederick Kimball that his inquiry to Samuel A. Crozer, President of the Crozer Steel & Iron Company, pertaining to the survey of the company's coal parcels will receive a response upon Crozer's return from Europe",
41,,,SalemAve,telegram,"Westlake, I. R. ",n.d.,paper,,"Telegram from I. R. Westlake to Frederick J. Kimball, N&W President","Message informing Frederick Kimball on the whereabouts of Captain Thomas Pinckney (CSA, Ret.), General Agent of the Virginia, Tennessee & Georgia Air Line. ",
42,,,SalemAve,letter,"West, Harvey F.",08/21/1885,paper,,"Letter from Harvey F. West to Frederick J. Kimball, N&W President",Letter from the president of the Philadelphia Warehouse Company discussing the status of bonds for the construction of a rail terminal,
43,,,SalemAve,letter,"West, Harvey F.",04/10/1885,paper,,"Letter from Harvey F. West to Frederick J. Kimball, N&W President",Letter from the president of the Philadelphia Warehouse Company inquiring about Frederick Kimball's availability for a meeting,
44,,,SalemAve,letter,"Whitty, William H.  ",01/18/1888,paper,,"Letter from William H. Whitty to Frederick J. Kimball, N&W President","Letter from William Whitty, staffwriter for The Philadelphia Times, soliciting donations for the Third Regument Infantry, N. G. P., in Philadelphia, Pennsylvania; circular enclosed",
45,,,SalemAve,letter,"Whitty, William H.  ",12/12/1889,paper,,"Letter from William H. Whitty to Frederick J. Kimball, N&W President","Letter from William Whitty, staffwriter for The Philadelphia Times, soliciting donations for the Third Regument Infantry, N. G. P., in Philadelphia, Pennsylvania",
46,,,SalemAve,letter,"Whittier, Charles S.",04/25/1887,paper,,"Letter from Charles S. Whittier to Frederick J. Kimball, N&W President",Letter rejecting invitation to accompany Frederick Kimball on a tour of N&W properties ,
47,,,SalemAve,letter,"Whittle, William C",07/21/1886,paper,,"Letter from William C. Whittle to Frederick J. Kimball, N&W President",Letter thanking Frederick Kimball for providing rail passes to family members of the Norfolk steamship captain William Whittle,
48,,,SalemAve,letter,"Wheeler, Robert B.",02/16/1887,paper,,"Letter from Robert B. Wheeler to Frederick J. Kimball, N&W President",Letter seeking employment ,
